Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Kurunegala,"Beds-5, Baths-3 Size-3500sqft",,,
Land For Sale In Horana,10.8 Perches,,"2,350,000","33,389"
House For Rent In Dalugama,"Beds-3, Baths-3 Size-2000sqft",,,"149,000"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
Building For Rent In Ambalangoda,6100sqft,,"30,000",
Land For Sale In Veyangoda,16 Perches,,"5,120,000","72,746"
House For Sale In Baddegama,"Beds-2, Baths-1 Size-sqft",,"4,000,000","56,833"
Shop For Sale In Galenbindunuwewa,2000sqft,,"70,000,000","994,581"
House For Sale In Dompe,"Beds-2, Baths-1 Size-1500sqft",,"3,500,000","49,729"
Land For Sale In Kataragama,1 Acres,,"2,000,000","28,417"
Land For Sale In Kataragama,1 Acres,,,
House For Rent In Moratuwa,"Beds-2, Baths-1 Size-1500sqft",,,"20,000"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Kataragama,45 Perches,,,
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-1900sqft",,,"35,000"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Kataragama,80 Perches,,"1,800,000","25,575"
Apartment For Rent In Gampaha,"Beds-2, Baths-1 Size-1800sqft",,,"39,000"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Sale In Kataragama,"Beds-2, Baths-2 Size-1700sqft",,,
Land For Sale In Kottawa,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Mattegoda,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
Land For Sale In Kataragama,40 Perches,,"2,800,000","39,783"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Rent In Kadawatha,"Beds-3, Baths-1 Size-2000sqft",,,"40,000"
Land For Sale In Kottawa,7 Perches,,"4,550,000","64,648"
House For Rent In Makola,"Beds-3, Baths-2 Size-2000sqft",,,"50,000"
House For Rent In Makola,"Beds-6, Baths-3 Size-2500sqft",,,"99,000"
House For Rent In Dalugama,"Beds-3, Baths-3 Size-2000sqft",,,"150,000"
House For Sale In Dompe,"Beds-2, Baths-1 Size-1000sqft",,,
House For Sale In Dompe,"Beds-5, Baths-2 Size-2000sqft",,"6,800,000","96,616"
House For Rent In Gampaha,"Beds-3, Baths-1 Size-1900sqft",,,"44,000"
House For Sale In Digana,"Beds-4, Baths-3 Size-sqft",,"39,000,000","554,124"
Land For Sale In Mount Lavinia,11.6 Perches,,"35,000,000","497,290"
Land For Sale In Kalubowila,6.5 Perches,,"25,000,000","355,207"
Land For Sale In Kosgama,30 Perches,,,
Office For Sale In Maharagama,3700sqft,,"75,000,000","1,065,622"
Room For Rent In Piliyandala,"Beds-1, Baths-1",,,"16,000"
House For Rent In Moratuwa,"Beds-3, Baths-2 Size-1500sqft",,,"39,000"
House For Rent In Dehiwala,"Beds-3, Baths-2",,,
Land For Sale In Meegoda,15 Perches,,"9,750,000","138,531"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Kataragama,40 Perches,,"4,800,000","68,200"
Land For Sale In Kataragama,20 Perches,,"2,000,000","28,417"
Land For Sale In Kataragama,2 Acres,,"7,000,000","99,458"
Land For Sale In Kataragama,2 Acres,,"4,000,000","56,833"
Land For Sale In Kataragama,1 Acres,,"2,500,000","35,521"
Land For Sale In Kataragama,70 Perches,,"5,000,000","71,041"
House For Sale In Colombo 05,"Beds-3, Baths-2 Size-900sqft",,"6,200,000",
House For Sale In Kiribathkumbura,"Beds-3, Baths-1 Size-1900sqft",,"5,100,000","72,462"
Land For Sale In Tangalla,252 Perches,,"9,500,000","134,979"
House For Sale In Moratuwa,"Beds-1, Baths-1 Size-1500sqft",,"19,500,000","277,062"
House For Sale In Padukka,"Beds-3, Baths-1 Size-1200sqft",,"8,000,000","113,666"
House For Sale In Minuwangoda,"Beds-2, Baths-1 Size-1000sqft",,"5,300,000","75,304"
Land For Sale In Minuwangoda,6.5 Perches,,"2,350,000","33,389"
House For Sale In Sella Kataragama,"Beds-3, Baths-1 Size-1500sqft",,"15,000,000","213,124"
Land For Sale In Tissamaharama,56 Perches,,"11,760,000","167,090"
Land With Building For Sale In Ganemulla,106.5 Perches,,"42,600,000","605,273"
House For Sale In Tissamaharama,"Beds-3, Baths-1 Size-1500sqft",,"8,000,000","113,666"
Land For Sale In Tissamaharama,20 Perches,,"1,800,000","25,575"
Land For Sale In Tissamaharama,1 Acres,,"5,000,000","71,041"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
Land With House For Sale In Kelaniya,22 Perches,,"14,300,000","203,179"
Land For Sale In Hanwella,10 Perches,,"2,700,000","38,362"
Land For Sale In Mirigama,10 Perches,,"1,300,000","18,471"
Land For Sale In Horana,10 Perches,,"4,500,000","63,937"
House For Sale In Galle,"Beds-2, Baths-1 Size-1500sqft",,"6,500,000","92,354"
House For Rent In Kiribathgoda,"Beds-2, Baths-1 Size-2000sqft",,,"81,000"
Land For Sale In Veyangoda,50 Perches,,"8,500,000","120,771"
Land For Sale In Karapitiya,31 Perches,,"6,000,000","85,250"
Land For Sale In Gampola,14 Perches,,"2,800,000","39,783"
Land For Sale In Elpitiya,20 Perches,,"2,000,000","28,417"
Land For Sale In Moratuwa,45 Perches,,"63,000,000","895,123"
House For Sale In Maharagama,"Beds-4, Baths-4 Size-4500sqft",,"55,500,000","788,560"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Elpitiya,1.5 Acres,,"7,000,000","99,458"
Land For Sale In Horana,52 Perches,,"3,500,000","49,729"
House For Sale In Horana,"Beds-3, Baths-1 Size-1500sqft",,"2,600,000","36,942"
House For Sale In Weligama,"Beds-5, Baths-3 Size-2500sqft",,"23,500,000","333,895"
House For Sale In Kochchikade,"Beds-2, Baths-2 Size-2000sqft",,"37,500,000","532,811"
House With Land For Sale In Polonnaruwa,"Beds-1, Baths-1 Size-750sqft",,,
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
House For Sale In Panadura,"Beds-2, Baths-1 Size-sqft",,"8,400,000","119,350"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Padukka,24 Perches,,"6,960,000","98,890"
Land For Sale In Moratuwa,8 Perches,,"7,600,000","107,983"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
House For Sale In Panadura,"Beds-3, Baths-1 Size-4000sqft",,"10,200,000","144,925"
House For Sale In Peradeniya,"Beds-2, Baths-1 Size-sqft",,,
House For Sale In Nittambuwa,"Beds-2, Baths-1 Size-2200sqft",,"6,000,000","85,250"
Land For Sale In Horana,17 Perches,,"3,230,000","45,893"
House For Sale In Maggona,"Beds-1, Baths-1 Size-sqft",,,
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
House For Sale In Kiribathgoda - Ref 976,"Beds-2, Baths-1 Size-1500sqft",,,"42,000"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Veyangoda,10 Perches,,"6,500,000","92,354"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
House For Sale In Badalgama,"Beds-1, Baths-1 Size-1000sqft",,"4,300,000","61,096"
Land For Sale In Nuwara Eliya,15 Perches,,"6,800,000","96,616"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
House For Sale In Pannipitiya,"Beds-3, Baths-1 Size-1200sqft",,"19,040,000","270,526"
House For Sale In Kadawatha,"Beds-4, Baths-2 Size-sqft",,"11,000,000","156,291"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-sqft",,"6,500,000","92,354"
Land For Sale In Negombo,13.2 Perches,,"3,630,000","51,576"
Land For Sale In Madiwela,12.5 Perches,,"37,500,000","532,811"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Veyangoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Kottawa,10 Perches,,"4,500,000","63,937"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-1700sqft",,"29,000,000","412,041"
Land For Sale In Kadawatha,11 Perches,,"6,600,000","93,775"
House For Rent In Urapola,"Beds-3, Baths-1 Size-700sqft",,,"15,000"
Land For Sale In Pallepola,52 Perches,,"2,600,000","36,942"
House For Rent In Attanagalla,"Beds-2, Baths-1 Size-1400sqft",,,"15,000"
Land For Sale In Wennappuwa,36 Perches,,"85,000,000","1,207,705"
House For Sale In Bandaragama,"Beds-3, Baths-2 Size-sqft",,"16,500,000","234,437"
Land For Sale In Uluvitike,11 Perches,,"3,740,000","53,139"
House For Sale In Makola,"Beds-3, Baths-1 Size-2600sqft",,"28,000,000","397,832"
Land For Sale In Embilipitiya,8 Acres,,,
Apartment For Sale In Rajagiriya,"Beds-2, Baths-2 Size-887sqft",,"35,000,000","497,290"
House For Sale In Colombo 08,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
Land For Sale In Pilawala,12 Perches,,"6,000,000","85,250"
House For Rent In Peradeniya,"Beds-2, Baths-1 Size-sqft",,,"30,000"
Land For Sale In Wathurugama,12.5 Perches,,"1,375,000","19,536"
Land For Sale In Panadura,21.5 Perches,,"16,125,000","229,109"
Land For Sale In Ahungalla,8 Perches,,"1,600,000","22,733"
Land For Sale In Bentota,3.5 Acres,,,
House For Sale In Kottawa,"Beds-6, Baths-5 Size-4500sqft",,,
Shop For Rent In Anuradhapura,220sqft,,,"12,000"
Land For Sale In Padukka,20 Perches,,"5,500,000","78,146"
Room For Rent In Battaramulla,"Beds-1, Baths-1",,,"30,000"
Land For Sale In Wadduwa,14.6 Perches,,"4,380,000","62,232"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-2000sqft",,"39,000,000","554,124"
Land For Sale In Mount Lavinia,7 Perches,,"4,000,000","56,833"
Land For Sale In Wadduwa,50 Perches,,"19,750,000","280,614"
Land For Sale In Ihala Walpola,40 Perches,,,
House For Sale In Minuwangoda,"Beds-2, Baths-1 Size-sqft",,"4,600,000","65,358"
House For Sale In Minuwangoda,"Beds-2, Baths-1 Size-sqft",,"5,300,000","75,304"
Land For Sale In Minuwangoda,6.5 Perches,,"2,350,000","33,389"
Land For Sale In Minuwangoda,7.5 Perches,,"2,500,000","35,521"
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
Land For Sale In Moratuwa,8 Perches,,"7,600,000","107,983"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Panadura,6.2 Perches,,"4,185,000","59,462"
House For Rent In Talawatugoda,"Beds-4, Baths-3 Size-3000sqft",,,"165,000"
Land For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Wattala,"Beds-6, Baths-3 Size-3200sqft",,"46,500,000","660,686"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Homagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Kiriwattuduwa,10 Perches,,"4,500,000","63,937"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Veyangoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Homagama,24 Perches,,"15,600,000","221,649"
Land For Sale In Homagama,65 Perches,,"32,000,000","454,665"
Land For Sale In Kalubowila,6.5 Perches,,"23,400,000","332,474"
House For Sale In Gampaha,"Beds-4, Baths-2 Size-1500sqft",,,
Land For Sale In Katunayake,15 Perches,,"10,500,000","149,187"
Land For Sale In Kahathuduwa,6.5 Perches,,"4,712,500","66,957"
House For Sale In Udugampola,"Beds-5, Baths-2 Size-sqft",,"21,500,000","305,478"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
House For Sale In Kadawatha,"Beds-2, Baths-2 Size-1800sqft",,"13,000,000","184,708"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1250sqft",,"22,500,000","319,687"
House For Sale In Alutgama,"Beds-2, Baths-1 Size-1000sqft",,"3,000,000","42,625"
Land For Sale In Alawwa,15 Perches,,"2,800,000","39,783"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Horana,"Beds-3, Baths-1 Size-1500sqft",,"6,500,000","92,354"
Land For Sale In Parakramasamudraya,40 Perches,,"2,500,000","35,521"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
House For Sale In Attanakadawala,"Beds-2, Baths-1 Size-1500sqft",,"6,700,000","95,196"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
House For Rent In Malabe,"Beds-3, Baths-3 Size-2250sqft",,,"150,000"
Apartment For Sale In Kotte,"Beds-2, Baths-2 Size-1200sqft",,"28,000,000","397,832"
Land With Half Built House For Sale In Dikwella,13 Perches,,"2,900,000","41,204"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-1700sqft",,"29,000,000","412,041"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Poruwedanda,80 Perches,,"8,000,000","113,666"
House For Sale In Kadawatha (Ref 65),"Beds-3, Baths-2 Size-1900sqft",,,
House For Sale In Palugasdamana,"Beds-2, Baths-1 Size-1000sqft",,"4,000,000","56,833"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
Land For Sale In Saliyapura,16 Perches,,"1,350,000","19,181"
House For Sale In Danture,"Beds-3, Baths-1 Size-1500sqft",,"10,000,000","142,083"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Polonnaruwa,"Beds-2, Baths-1 Size-1000sqft",,"3,600,000","51,150"
Land For Sale In Attanakadawala,1.5 Acres,,"1,100,000","15,629"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Attanakadawala,3 Acres,,"5,000,000","71,041"
House For Sale In Bakamuna,"Beds-2, Baths-1 Size-1000sqft",,"2,500,000","35,521"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Bandaragama,"Beds-3, Baths-1 Size-1500sqft",,"31,000,000","440,457"
House For Sale In Kurunegala,"Beds-5, Baths-2 Size-12sqft",,"24,500,000","348,103"
House For Sale In Panadura,"Beds-5, Baths-1 Size-sqft",,"9,500,000","134,979"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
House For Sale In Moratuwa,"Beds-5, Baths-2 Size-sqft",,"37,500,000","532,811"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-2500sqft",,"23,000,000","326,791"
Land For Sale In Nittambuwa,35 Perches,,"4,025,000","57,188"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-sqft",,"4,000,000","56,833"
Land For Sale In Mawathagama,18.3 Perches,,"1,800,000","25,575"
Land With House For Sale In Biyagama,25 Perches,,,
House For Rent In Gampaha,"Beds-3, Baths-2 Size-3000sqft",,,"75,000"
House For Sale In Gampaha,"Beds-4, Baths-1 Size-sqft",,"11,000,000","156,291"
House For Sale In Kurunegala,"Beds-3, Baths-1 Size-sqft",,"3,800,000","53,992"
Land For Sale In Nittambuwa,180 Perches,,"15,300,000","217,387"
Land With House For Sale In Kirillawala,12.5 Perches,,"47,500,000","674,894"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-sqft",,"19,000,000","269,958"
Apartment For Sale In Nugegoda,"Beds-2, Baths-2 Size-980sqft",,"30,000,000","426,249"
Land For Sale In Athurugiriya,6.35 Perches,,"4,750,000","67,489"
Land For Sale In Boralesgamuwa,20 Perches,,"72,000,000","1,022,997"
House For Rent In Colombo 08,"Beds-7, Baths-6 Size-5000sqft",,,"800,000"
House For Sale In Madapatha,"Beds-3, Baths-2 Size-2200sqft",,"22,500,000","319,687"
Land For Sale In Ruwanwella,40 Perches,,"5,000,000","71,041"
Land For Sale In Homagama,9.8 Perches,,"5,782,000","82,152"
House For Sale In Ingiriya,"Beds-2, Baths-1 Size-1000sqft",,"2,200,000","31,258"
Land For Sale In Weliveriya,80 Perches,,"8,000,000","113,666"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Kundasale,14 Perches,,"5,600,000","79,566"
House For Sale In Homagama,"Beds-4, Baths-4 Size-2516sqft",,"18,000,000","255,749"
House For Sale In Panadura,"Beds-5, Baths-1 Size-1500sqft",,"8,500,000","120,771"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Kurunegala,15 Perches,,"3,675,000","52,215"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Land For Sale In Horana,28 Perches,,"5,320,000","75,588"
House For Sale In Malabe,"Beds-3, Baths-1 Size-1500sqft",,"17,800,000","252,908"
Land For Sale In Ududumbara,1 Acres,,"1,600,000","22,733"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-sqft",,"45,000,000","639,373"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Wattala,"Beds-5, Baths-3 Size-sqft",,,
House For Sale In Gampola,"Beds-3, Baths-2 Size-4000sqft",,"12,000,000","170,500"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-900sqft",,"22,500,000","319,687"
Land For Sale In Piliyandala,10 Perches,,"20,000,000","284,166"
House For Rent In Piliyandala,"Beds-3, Baths-1 Size-900sqft",,,"50,000"
Land For Sale In Kadawatha,10 Perches,,"5,700,000","80,987"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
Land For Sale In Udapussallawa,12 Perches,,"2,820,000","40,067"
House For Sale In Kiribathgoda,"Beds-3, Baths-1 Size-1350sqft",,"17,000,000","241,541"
House For Sale In Negombo,"Beds-5, Baths-4 Size-3750sqft",,"47,500,000","674,894"
House For Sale In Negombo,"Beds-4, Baths-2 Size-3350sqft",,"42,500,000","603,853"
Land For Sale In Meegoda,6 Perches,,"3,750,000","53,281"
Land For Sale In Bandaragama,10 Perches,,"4,100,000","58,254"
Land For Sale In Ragama,6 Perches,,"5,340,000","75,872"
Land For Sale In Rajagiriya,20 Perches,,"100,000,000","1,420,830"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land With House For Sale In Narammala,56 Perches,,"15,400,000","218,808"
Land For Sale In Wadduwa,153 Perches,,"168,300,000","2,391,256"
House For Rent In Wellampitiya,"Beds-3, Baths-2 Size-1500sqft",,,
Land For Sale In Ragama,6.15 Perches,,"5,473,500","77,769"
Land For Sale In Meegoda,7 Perches,,"3,325,000","47,243"
Land For Sale In Kadawatha,6 Perches,,"6,600,000","93,775"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1655sqft",,"29,500,000","419,145"
Land For Sale In Yakkala,12.5 Perches,,"2,500,000","35,521"
Land For Sale In Nuwara Eliya,15 Perches,,"6,800,000","96,616"
House For Sale In Ratmalana,"Beds-12, Baths-4 Size-1600sqft",,"100,000,000","1,420,830"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-sqft",,"27,000,000","383,624"
House For Sale In Piliyandala,"Beds-5, Baths-2 Size-2450sqft",,"25,000,000","355,207"
Apartment For Rent In Minuwangoda,"Beds-1, Baths-1 Size-sqft",,,"8,500"
House For Sale In Negombo,"Beds-5, Baths-4 Size-3750sqft",,"47,500,000","674,894"
House For Sale In Nittambuwa,"Beds-2, Baths-2 Size-900sqft",,"13,000,000","184,708"
House For Sale In Maggona,"Beds-1, Baths-1 Size-sqft",,"2,500,000","35,521"
House For Sale In Kalutara,"Beds-4, Baths-1 Size-sqft",,"10,500,000","149,187"
House For Sale In Kadawatha,"Beds-7, Baths-3 Size-sqft",,"17,000,000","241,541"
House For Sale In Pugoda,"Beds-3, Baths-1 Size-sqft",,"6,900,000","98,037"
Land For Sale In Nittambuwa,12 Perches,,"3,500,000","49,729"
House For Sale In Ganemulla,"Beds-3, Baths-1 Size-sqft",,"7,500,000","106,562"
House For Sale In Kiribathgoda,"Beds-2, Baths-2 Size-2500sqft",,"18,000,000","255,749"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
House For Sale In Pugoda,"Beds-3, Baths-1 Size-sqft",,"6,500,000","92,354"
Land For Sale In Wathurugama,13.21 Perches,,"1,717,300","24,400"
House For Rent In Wadduwa,"Beds-3, Baths-1 Size-1400sqft",,,"30,000"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2000sqft",,"27,500,000","390,728"
House For Sale In Makewita,"Beds-2, Baths-1 Size-1000sqft",,"3,500,000","49,729"
House For Sale In Ja-Ela,"Beds-5, Baths-2 Size-1500sqft",,"22,500,000","319,687"
House For Sale In Kadawatha,"Beds-4, Baths-1 Size-sqft",,"13,000,000","184,708"
Land For Sale In Ganemulla,19 Perches,,"14,915,000","211,917"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-sqft",,"15,000,000","213,124"
Land For Sale In Ellakkala,28 Perches,,"4,760,000","67,631"
Land For Sale In Kadawatha,13 Perches,,"12,000,000","170,500"
Land For Sale In Nittambuwa,32 Perches,,"8,000,000","113,666"
Land For Sale In Padukka,10 Perches,,"1,600,000","22,733"
House For Sale In Delgoda,"Beds-3, Baths-1 Size-1500sqft",,"4,500,000","63,937"
Land For Sale In Kadawatha,13 Perches,,"12,000,000","170,500"
Room For Rent In Piliyandala,"Beds-1, Baths-1",,,"10,000"
Land For Sale In Kaduwela,80 Perches,,"58,000,000","824,081"
Land For Sale In Urapola,105 Perches,,"10,395,000","147,695"
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,,"45,000"
House For Sale In Veyangoda,"Beds-4, Baths-3 Size-1992sqft",,"24,500,000","348,103"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
House For Rent In Yakkala,"Beds-3, Baths-2 Size-3000sqft",,,"50,000"
House For Rent In Eheliyagoda,"Beds-3, Baths-1 Size-1700sqft",,,"38,000"
Land For Sale In Padukka,160 Perches,,"15,200,000","215,966"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2345sqft",,"33,000,000","468,874"
House For Sale In Talawatugoda,"Beds-5, Baths-4 Size-2610sqft",,"62,000,000","880,914"
House For Sale In Kottawa,"Beds-3, Baths-1 Size-1185sqft",,"13,500,000","191,812"
House For Sale In Kirillawala,"Beds-5, Baths-2 Size-sqft",,"17,500,000","248,645"
House For Sale In Kalutara,"Beds-3, Baths-1 Size-sqft",,"14,300,000","203,179"
House For Sale In Kalutara,"Beds-3, Baths-1 Size-sqft",,"12,500,000","177,604"
Land With House For Sale In Negombo,20 Perches,,"9,000,000","127,875"
Land For Sale In Nittambuwa,32 Perches,,"9,600,000","136,400"
House For Sale In Malabe,"Beds-7, Baths-3 Size-2200sqft",,"23,000,000","326,791"
House For Sale In Veyangoda,"Beds-4, Baths-3 Size-2400sqft",,"21,000,000","298,374"
Land With Shop For Sale In Kirindiwela,33 Perches,,"39,000,000","554,124"
Land For Sale In Yakkala,12 Perches,,"3,000,000","42,625"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-2400sqft",,"6,500,000","92,354"
Hotel For Sale In Unawatuna,6000sqft,,"97,500,000","1,385,309"
House For Sale In Colombo 07,"Beds-4, Baths-4 Size-1650sqft",,"280,000,000","3,978,323"
House For Sale In Veyangoda,"Beds-5, Baths-3 Size-2000sqft",,"21,000,000","298,374"
House For Sale In Kurunegala,"Beds-4, Baths-1 Size-1800sqft",,"14,500,000","206,020"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
Land For Sale In Kamburugamuwa,20 Perches,,,
House For Sale In Piliyandala,"Beds-5, Baths-2 Size-2538sqft",,"25,500,000","362,312"
House For Sale In Athurugiriya,"Beds-4, Baths-3 Size-2325sqft",,"27,000,000","383,624"
House For Sale In Malabe,"Beds-5, Baths-4 Size-1796sqft",,"55,000,000","781,456"
House For Sale In Pelawatta,"Beds-3, Baths-2 Size-2314sqft",,"130,000,000","1,847,078"
House For Sale In Colombo 07,"Beds-5, Baths-5 Size-sqft",,,
Land For Sale In Kurunegala,15 Perches,,"2,900,000","41,204"
Land For Sale In Negombo,15 Perches,,"3,000,000","42,625"
House For Sale In Colombo 07,"Beds-5, Baths-3 Size-sqft",,,
Land For Sale In Veyangoda,43 Perches,,"4,300,000","61,096"
Land For Sale In Yakkala,7.5 Acres,,"48,750,000","692,654"
House For Sale In Ganemulla,"Beds-7, Baths-2 Size-500sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-1200sqft",,"13,500,000","191,812"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Yakkala,"Beds-2, Baths-1 Size-sqft",,"10,000,000","142,083"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-sqft",,"16,900,000","240,120"
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
House For Sale In Matara,"Beds-5, Baths-2 Size-2900sqft",,"13,800,000","196,074"
House For Sale In Mattegoda,"Beds-3, Baths-2 Size-1075sqft",,,
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-1500sqft",,"15,000,000","213,124"
Hotel For Sale In Bangadeniya,12000sqft,,"36,000,000","511,499"
House For Sale In Kahathuduwa,"Beds-3, Baths-1 Size-1500sqft",,"7,500,000","106,562"
House For Sale In Homagama,"Beds-5, Baths-1 Size-5445sqft",,"75,000,000","1,065,622"
Hotel For Sale In Bangadeniya,12250sqft,,"37,000,000","525,707"
Land For Sale In Yakkala,12.5 Perches,,"3,000,000","42,625"
Land For Sale In Minuwangoda,20 Perches,,"5,500,000","78,146"
